event_id,timestamp,mission_phase,region_type,radar_signal_strength,radar_noise_level,satellite_temperature,satellite_power_level,uav_battery_level,uav_altitude,communication_latency_ms,communication_packet_loss,cyber_alert_count,failed_login_attempts,weather_severity,anomaly_label,anomaly_type
EVT-00001,2026-01-01 00:00:00,Pre-Mission,Open Ocean,71.32,17.47,39.55,78.69,56.47,11787.53,76.54,3.5,0,4,3,0,Normal
EVT-00002,2026-01-01 00:15:00,Surveillance,Desert,86.32,15.42,61.25,81.67,67.34,12302.59,203.91,1.19,1,4,3,0,Normal
EVT-00003,2026-01-01 00:30:00,Surveillance,Mountain,78.31,22.78,44.74,78.76,76.75,15815.76,158.05,5.05,5,3,4,0,Normal
EVT-00004,2026-01-01 00:45:00,Transit,Open Ocean,75.45,16.58,53.22,75.05,69.51,13093.79,127.32,2.62,3,1,2,0,Normal
EVT-00005,2026-01-01 01:00:00,Transit,Urban,77.04,16.16,44.57,87.54,52.21,12440.73,169.88,3.24,1,5,3,0,Normal
EVT-00006,2026-01-01 01:15:00,Return,Open Ocean,80.01,18.63,44.75,87.64,85.85,11500.3,79.1,2.07,1,5,4,0,Normal
EVT-00007,2026-01-01 01:30:00,Pre-Mission,Open Ocean,83.55,28.18,40.33,97.91,33.66,11873.61,109.9,3.55,2,5,4,0,Normal
EVT-00008,2026-01-01 01:45:00,Surveillance,Mountain,34.38,22.53,45.95,81.32,65.75,15261.48,170.55,5.03,1,1,3,1,Radar Degradation
EVT-00009,2026-01-01 02:00:00,Launch,Desert,68.63,22.62,47.54,88.07,63.32,12009.26,54.65,2.29,3,1,2,0,Normal
EVT-00010,2026-01-01 02:15:00,Pre-Mission,Mountain,87.94,6.64,38.73,88.19,74.07,11012.51,139.62,5.27,3,2,3,0,Normal
EVT-00011,2026-01-01 02:30:00,Transit,Coastal,74.29,19.3,44.0,84.22,79.86,10588.73,138.63,1.52,3,1,3,0,Normal
EVT-00012,2026-01-01 02:45:00,Return,Desert,65.25,27.45,40.12,91.21,87.77,10615.59,188.92,3.72,0,1,5,0,Normal
EVT-00013,2026-01-01 03:00:00,Surveillance,Coastal,81.99,20.93,63.4,91.43,62.03,8494.76,64.6,3.28,0,1,2,0,Normal
EVT-00014,2026-01-01 03:15:00,Surveillance,Coastal,82.17,19.02,44.28,88.29,80.21,10124.06,176.34,0.79,4,7,2,0,Normal
EVT-00015,2026-01-01 03:30:00,Surveillance,Mountain,64.22,14.64,57.36,84.21,74.74,15746.05,100.42,2.84,2,2,4,0,Normal
EVT-00016,2026-01-01 03:45:00,Surveillance,Open Ocean,80.07,18.19,43.44,83.5,48.04,11483.5,104.35,2.51,1,2,4,0,Normal
EVT-00017,2026-01-01 04:00:00,Transit,Coastal,84.62,16.49,47.07,76.43,98.61,13761.03,77.23,1.13,5,3,3,0,Normal
EVT-00018,2026-01-01 04:15:00,Pre-Mission,Mountain,81.37,13.28,34.43,80.36,51.86,5803.11,81.93,3.07,3,5,1,0,Normal
EVT-00019,2026-01-01 04:30:00,Return,Urban,83.69,16.26,41.42,81.65,77.87,13420.78,134.12,2.73,1,2,4,0,Normal
EVT-00020,2026-01-01 04:45:00,Transit,Urban,65.36,19.19,46.68,78.13,77.46,11596.62,81.07,2.38,4,1,4,0,Normal
EVT-00021,2026-01-01 05:00:00,Transit,Urban,80.98,13.4,57.69,89.08,75.86,10796.4,145.91,2.39,0,5,5,0,Normal
EVT-00022,2026-01-01 05:15:00,Launch,Urban,75.28,13.16,46.78,94.38,65.08,12452.4,96.8,2.36,1,3,3,0,Normal
EVT-00023,2026-01-01 05:30:00,Pre-Mission,Open Ocean,73.65,9.84,56.07,79.64,83.58,10760.44,77.54,1.91,2,4,3,0,Normal
EVT-00024,2026-01-01 05:45:00,Return,Open Ocean,85.84,20.34,50.13,87.98,50.15,6690.31,101.53,2.72,2,6,2,0,Normal
EVT-00025,2026-01-01 06:00:00,Surveillance,Open Ocean,91.31,21.27,58.02,78.76,71.08,14305.62,131.78,1.47,4,1,3,0,Normal
EVT-00026,2026-01-01 06:15:00,Surveillance,Urban,94.15,19.39,44.53,83.87,64.11,12607.54,110.29,6.75,3,2,1,0,Normal
EVT-00027,2026-01-01 06:30:00,Transit,Urban,89.83,23.79,64.12,81.17,62.52,11215.14,121.2,0.25,1,1,3,0,Normal
EVT-00028,2026-01-01 06:45:00,Return,Coastal,77.01,18.53,41.12,90.21,78.0,9584.54,144.37,1.56,2,1,4,0,Normal
EVT-00029,2026-01-01 07:00:00,Transit,Mountain,81.17,20.35,38.87,81.25,87.08,8325.36,157.88,1.69,5,3,4,0,Normal
EVT-00030,2026-01-01 07:15:00,Transit,Coastal,84.9,19.82,35.32,93.08,67.19,12559.73,109.15,5.76,4,3,4,0,Normal
EVT-00031,2026-01-01 07:30:00,Transit,Mountain,79.09,17.45,63.65,84.28,82.93,16033.6,83.45,0.39,1,2,5,0,Normal
EVT-00032,2026-01-01 07:45:00,Launch,Urban,79.18,14.82,51.56,81.45,72.7,12507.92,122.66,3.18,4,2,4,0,Normal
EVT-00033,2026-01-01 08:00:00,Pre-Mission,Desert,85.41,31.28,42.33,77.23,59.5,8543.1,136.47,2.9,1,1,4,0,Normal
EVT-00034,2026-01-01 08:15:00,Transit,Coastal,77.47,15.29,54.99,87.77,68.39,12562.79,68.87,3.03,0,6,3,0,Normal
EVT-00035,2026-01-01 08:30:00,Return,Urban,71.44,14.0,50.5,92.27,67.81,11866.64,88.83,4.48,3,4,4,0,Normal
EVT-00036,2026-01-01 08:45:00,Pre-Mission,Desert,74.27,20.6,60.73,87.91,62.25,14160.11,94.83,4.45,3,6,4,0,Normal
EVT-00037,2026-01-01 09:00:00,Return,Open Ocean,83.71,19.51,32.62,100.0,78.0,13516.83,112.73,1.78,1,4,3,0,Normal
EVT-00038,2026-01-01 09:15:00,Return,Urban,47.65,26.17,55.62,96.01,75.29,4535.44,253.13,2.81,11,1,3,1,Multi-Domain Escalation
EVT-00039,2026-01-01 09:30:00,Launch,Mountain,81.06,24.74,41.3,83.85,49.73,13363.11,144.75,0.0,2,3,4,0,Normal
EVT-00040,2026-01-01 09:45:00,Surveillance,Open Ocean,84.03,17.43,29.21,83.77,48.88,9491.3,63.82,2.66,2,4,2,0,Normal
EVT-00041,2026-01-01 10:00:00,Pre-Mission,Desert,74.63,11.33,53.48,89.29,77.95,8445.68,64.71,1.23,1,3,2,0,Normal
EVT-00042,2026-01-01 10:15:00,Surveillance,Open Ocean,84.81,25.13,65.69,54.91,60.59,11528.82,108.31,2.2,3,5,3,1,Satellite Telemetry Spike
EVT-00043,2026-01-01 10:30:00,Surveillance,Mountain,81.41,21.75,50.92,94.16,76.23,13027.43,113.85,0.0,2,3,4,0,Normal
EVT-00044,2026-01-01 10:45:00,Launch,Coastal,66.89,10.41,63.88,88.53,82.93,7898.16,69.09,3.15,2,2,3,0,Normal
EVT-00045,2026-01-01 11:00:00,Pre-Mission,Desert,90.98,28.66,42.17,87.8,54.21,13761.44,98.76,0.0,4,2,1,0,Normal
EVT-00046,2026-01-01 11:15:00,Return,Urban,73.49,21.95,41.63,90.81,52.24,13908.35,105.96,2.74,2,4,5,0,Normal
EVT-00047,2026-01-01 11:30:00,Transit,Coastal,63.1,17.94,45.95,98.06,95.44,12117.44,106.23,0.54,3,1,3,0,Normal
EVT-00048,2026-01-01 11:45:00,Return,Desert,68.59,27.54,52.9,87.2,76.92,9830.94,125.32,1.14,0,1,3,0,Normal
EVT-00049,2026-01-01 12:00:00,Surveillance,Desert,68.81,18.96,40.47,85.21,66.13,9551.55,96.84,4.35,0,4,5,0,Normal
EVT-00050,2026-01-01 12:15:00,Surveillance,Urban,78.47,17.83,39.95,96.56,58.92,14564.83,171.72,3.44,2,3,3,0,Normal
EVT-00051,2026-01-01 12:30:00,Surveillance,Mountain,75.54,14.04,53.46,92.77,64.85,8221.94,137.09,4.34,3,2,1,0,Normal
EVT-00052,2026-01-01 12:45:00,Pre-Mission,Coastal,74.97,21.49,48.03,83.75,55.33,14661.18,91.75,5.0,2,4,5,0,Normal
EVT-00053,2026-01-01 13:00:00,Launch,Mountain,83.58,20.86,28.64,86.04,84.37,11587.0,123.31,1.26,1,5,2,0,Normal
EVT-00054,2026-01-01 13:15:00,Transit,Open Ocean,81.06,18.09,35.2,87.37,61.13,11760.41,124.34,4.9,0,5,5,0,Normal
EVT-00055,2026-01-01 13:30:00,Transit,Urban,80.84,13.26,57.01,88.53,87.31,7729.78,162.52,0.16,2,2,3,0,Normal
EVT-00056,2026-01-01 13:45:00,Pre-Mission,Open Ocean,81.69,18.78,48.22,76.5,66.39,11633.21,98.99,3.69,3,2,2,0,Normal
EVT-00057,2026-01-01 14:00:00,Transit,Mountain,83.55,17.58,38.9,75.2,57.39,13533.96,146.86,1.71,0,0,2,0,Normal
EVT-00058,2026-01-01 14:15:00,Pre-Mission,Desert,59.03,10.0,43.64,79.79,66.03,8658.97,121.46,1.01,3,1,5,0,Normal
EVT-00059,2026-01-01 14:30:00,Surveillance,Mountain,74.72,9.17,63.48,54.13,35.26,13246.59,172.2,3.48,4,3,5,1,Satellite Telemetry Spike
EVT-00060,2026-01-01 14:45:00,Surveillance,Coastal,58.38,21.39,50.89,81.49,70.31,12222.53,165.18,4.01,0,4,1,0,Normal
EVT-00061,2026-01-01 15:00:00,Return,Desert,78.32,2.39,34.13,90.44,69.62,10390.61,126.89,3.96,1,2,5,0,Normal
EVT-00062,2026-01-01 15:15:00,Surveillance,Desert,77.96,19.23,38.27,84.82,83.55,14136.68,110.82,2.84,3,5,5,0,Normal
EVT-00063,2026-01-01 15:30:00,Launch,Urban,54.12,27.85,47.18,87.37,45.59,6494.36,137.73,2.71,5,1,4,1,Radar Degradation
EVT-00064,2026-01-01 15:45:00,Return,Desert,88.69,25.85,44.2,77.43,88.27,12866.7,113.68,3.34,3,2,1,0,Normal
EVT-00065,2026-01-01 16:00:00,Transit,Desert,79.82,15.04,49.57,82.77,83.49,16048.59,178.81,2.99,2,7,3,0,Normal
EVT-00066,2026-01-01 16:15:00,Launch,Coastal,73.5,21.96,35.16,90.11,89.53,15599.86,122.75,3.37,1,4,3,0,Normal
EVT-00067,2026-01-01 16:30:00,Return,Open Ocean,82.37,15.62,47.86,90.16,71.26,12974.52,105.8,2.83,3,5,1,0,Normal
EVT-00068,2026-01-01 16:45:00,Launch,Desert,73.25,18.68,53.73,80.93,86.19,11245.8,103.91,3.85,3,2,5,0,Normal
EVT-00069,2026-01-01 17:00:00,Pre-Mission,Coastal,77.99,22.42,48.89,87.13,51.4,10410.49,77.54,0.0,0,2,4,0,Normal
EVT-00070,2026-01-01 17:15:00,Transit,Urban,86.88,15.22,46.11,100.0,81.98,11242.69,139.48,2.29,3,1,1,0,Normal
EVT-00071,2026-01-01 17:30:00,Surveillance,Desert,72.98,23.98,44.23,85.88,61.2,13359.52,91.3,0.29,5,6,2,0,Normal
EVT-00072,2026-01-01 17:45:00,Pre-Mission,Coastal,85.25,12.04,38.32,81.15,48.88,9981.89,158.44,2.94,3,3,5,0,Normal
EVT-00073,2026-01-01 18:00:00,Transit,Desert,84.1,19.77,44.42,84.78,56.26,13893.56,185.53,17.28,3,0,3,1,Communication Disruption
EVT-00074,2026-01-01 18:15:00,Pre-Mission,Mountain,69.41,23.54,55.08,86.65,72.08,17332.9,124.45,1.74,3,5,3,0,Normal
EVT-00075,2026-01-01 18:30:00,Surveillance,Mountain,86.77,21.96,44.05,84.94,60.46,11845.29,160.26,2.7,3,3,1,0,Normal
EVT-00076,2026-01-01 18:45:00,Transit,Urban,84.29,29.5,37.88,85.78,77.27,8639.01,44.67,3.71,4,5,1,0,Normal
EVT-00077,2026-01-01 19:00:00,Launch,Desert,78.92,13.42,71.02,55.02,46.68,8638.14,190.64,0.0,0,3,5,1,Satellite Telemetry Spike
EVT-00078,2026-01-01 19:15:00,Launch,Urban,71.14,9.73,46.61,79.26,42.22,13941.41,105.12,1.66,1,3,5,0,Normal
EVT-00079,2026-01-01 19:30:00,Transit,Mountain,70.27,12.03,42.01,84.95,91.21,11850.63,270.55,13.74,2,1,1,1,Communication Disruption
EVT-00080,2026-01-01 19:45:00,Surveillance,Open Ocean,73.16,21.96,48.88,84.84,84.65,14192.08,140.0,0.0,3,3,3,0,Normal
EVT-00081,2026-01-01 20:00:00,Return,Open Ocean,82.88,20.99,49.18,82.04,57.31,10665.91,145.41,0.94,1,2,4,0,Normal
EVT-00082,2026-01-01 20:15:00,Transit,Open Ocean,69.4,18.61,52.11,84.76,71.96,14076.56,129.59,4.26,3,1,5,0,Normal
EVT-00083,2026-01-01 20:30:00,Pre-Mission,Open Ocean,81.94,11.26,56.39,86.43,86.27,11604.25,154.91,4.1,2,0,3,0,Normal
EVT-00084,2026-01-01 20:45:00,Return,Mountain,66.82,22.6,52.97,92.23,77.87,10168.74,288.04,17.52,3,7,5,1,Communication Disruption
EVT-00085,2026-01-01 21:00:00,Surveillance,Coastal,76.16,10.65,37.53,85.31,74.08,10997.5,181.63,3.91,25,18,1,1,Cyber Intrusion Pattern
EVT-00086,2026-01-01 21:15:00,Surveillance,Open Ocean,78.99,24.95,37.77,88.79,87.33,9007.36,138.28,2.84,1,3,1,0,Normal
EVT-00087,2026-01-01 21:30:00,Pre-Mission,Open Ocean,100.0,35.14,44.39,82.21,61.77,16973.4,188.76,3.39,2,1,3,0,Normal
EVT-00088,2026-01-01 21:45:00,Launch,Open Ocean,65.6,20.2,41.39,90.0,72.44,11759.05,151.54,1.99,3,5,2,0,Normal
EVT-00089,2026-01-01 22:00:00,Surveillance,Desert,91.25,21.5,35.89,88.63,71.75,13611.29,56.8,2.69,1,2,4,0,Normal
EVT-00090,2026-01-01 22:15:00,Return,Urban,79.35,15.04,41.47,92.06,68.18,10657.83,211.39,1.49,3,2,2,0,Normal
EVT-00091,2026-01-01 22:30:00,Transit,Mountain,81.7,7.14,41.2,90.99,66.54,9370.18,99.9,4.52,1,2,3,0,Normal
EVT-00092,2026-01-01 22:45:00,Return,Mountain,79.07,14.38,39.63,90.12,73.02,11415.3,172.34,4.93,2,4,3,0,Normal
EVT-00093,2026-01-01 23:00:00,Return,Open Ocean,82.0,11.44,42.47,85.31,72.48,14752.98,120.94,4.71,2,2,5,0,Normal
EVT-00094,2026-01-01 23:15:00,Launch,Coastal,76.62,9.32,54.43,87.71,57.32,10698.17,157.14,1.85,1,4,1,0,Normal
EVT-00095,2026-01-01 23:30:00,Return,Coastal,91.09,28.33,46.59,93.44,83.23,9823.67,95.9,0.97,8,13,3,1,Cyber Intrusion Pattern
EVT-00096,2026-01-01 23:45:00,Launch,Urban,73.89,19.64,64.77,81.44,58.33,12388.66,141.9,4.54,0,3,2,0,Normal
EVT-00097,2026-01-02 00:00:00,Launch,Open Ocean,88.19,20.28,46.36,81.6,68.94,13247.56,111.14,3.37,4,1,1,0,Normal
EVT-00098,2026-01-02 00:15:00,Surveillance,Desert,72.2,16.15,42.68,87.27,67.87,16107.12,175.27,3.03,5,2,5,0,Normal
EVT-00099,2026-01-02 00:30:00,Surveillance,Urban,77.46,16.96,45.03,88.91,77.01,12884.38,135.35,1.49,2,3,5,0,Normal
EVT-00100,2026-01-02 00:45:00,Pre-Mission,Mountain,68.35,23.79,47.05,80.23,42.33,13609.98,152.76,3.18,6,5,1,0,Normal
EVT-00101,2026-01-02 01:00:00,Return,Mountain,82.1,17.81,48.48,85.48,84.47,13798.19,44.26,0.76,1,1,4,0,Normal
EVT-00102,2026-01-02 01:15:00,Pre-Mission,Mountain,91.01,21.18,61.61,85.34,62.52,9117.46,117.0,3.51,0,4,4,0,Normal
EVT-00103,2026-01-02 01:30:00,Return,Open Ocean,77.3,16.82,38.24,70.49,89.08,9591.67,134.37,4.71,3,1,4,0,Normal
EVT-00104,2026-01-02 01:45:00,Pre-Mission,Urban,76.23,15.95,51.87,84.46,65.31,9290.26,127.83,5.11,1,5,3,0,Normal
EVT-00105,2026-01-02 02:00:00,Surveillance,Coastal,67.97,9.56,46.66,84.9,71.32,8669.64,153.64,3.63,3,1,2,0,Normal
EVT-00106,2026-01-02 02:15:00,Surveillance,Urban,75.94,6.13,32.43,84.88,98.79,13988.65,107.19,0.29,1,2,1,0,Normal
EVT-00107,2026-01-02 02:30:00,Surveillance,Coastal,63.66,16.43,51.17,95.91,68.12,12725.13,121.71,2.82,2,4,1,0,Normal
EVT-00108,2026-01-02 02:45:00,Surveillance,Open Ocean,69.78,18.34,55.14,77.49,89.34,12198.74,161.34,5.92,2,4,1,0,Normal
EVT-00109,2026-01-02 03:00:00,Transit,Open Ocean,80.04,10.28,38.14,80.23,72.55,5518.21,40.25,1.11,2,4,3,0,Normal
EVT-00110,2026-01-02 03:15:00,Surveillance,Urban,89.87,17.79,44.93,67.71,77.82,17138.69,140.63,2.41,1,4,1,0,Normal
EVT-00111,2026-01-02 03:30:00,Launch,Desert,100.0,18.32,31.2,82.63,72.98,9764.32,108.31,4.76,1,4,4,0,Normal
