event_id,timestamp,mission_phase,region_type,radar_signal_strength,radar_noise_level,satellite_temperature,satellite_power_level,uav_battery_level,uav_altitude,communication_latency_ms,communication_packet_loss,cyber_alert_count,failed_login_attempts,weather_severity,anomaly_label,anomaly_type,hour,day_of_week,is_night_operation,radar_health_score,satellite_stability_score,uav_operational_score,communication_reliability_score,cyber_pressure_index,environmental_risk_index,sensor_degradation_index,multi_domain_pressure_score,simultaneous_domain_stress_count,mission_risk_score,risk_level,isolation_forest_anomaly,ml_anomaly_prediction,ml_anomaly_probability
EVT-00001,2026-01-01 00:00:00,Pre-Mission,Open Ocean,71.32,17.47,39.55,78.69,56.47,11787.53,76.54,3.5,0,4,3,0,Normal,0,3,1,53.849999999999994,58.915,53.674036,81.6268,7.2,30,35.51705,27.767865299999997,0,28.71,Low,0,0,0.0
EVT-00002,2026-01-01 00:15:00,Surveillance,Desert,86.32,15.42,61.25,81.67,67.34,12302.59,203.91,1.19,1,4,3,0,Normal,0,3,1,70.89999999999999,51.045,61.901108,79.5222,9.7,30,32.0432,25.4342184,0,26.51,Low,0,0,0.0
EVT-00003,2026-01-01 00:30:00,Surveillance,Mountain,78.31,22.78,44.74,78.76,76.75,15815.76,158.05,5.05,5,3,4,0,Normal,0,3,1,55.53,56.39,72.703912,69.681,17.9,40,40.04675,29.745255099999998,1,35.99,Moderate,0,0,0.0189
EVT-00004,2026-01-01 00:45:00,Transit,Open Ocean,75.45,16.58,53.22,75.05,69.51,13093.79,127.32,2.62,3,1,2,0,Normal,0,3,1,58.870000000000005,48.44,64.36954800000001,80.6444,9.3,20,35.124399999999994,26.187070399999996,0,27.7,Low,0,0,0.0
EVT-00005,2026-01-01 01:00:00,Transit,Urban,77.04,16.16,44.57,87.54,52.21,12440.73,169.88,3.24,1,5,3,0,Normal,1,3,1,60.88000000000001,65.25500000000001,51.475876,75.0696,11.5,30,33.11085,28.6297073,0,28.7,Low,0,0,0.0
EVT-00006,2026-01-01 01:15:00,Return,Open Ocean,80.01,18.63,44.75,87.64,85.85,11500.3,79.1,2.07,1,5,4,0,Normal,1,3,1,61.38000000000001,65.265,73.89536,86.42699999999999,11.5,40,31.593999999999998,23.463228,1,28.91,Low,0,0,0.0
EVT-00007,2026-01-01 01:30:00,Pre-Mission,Open Ocean,83.55,28.18,40.33,97.91,33.66,11873.61,109.9,3.55,2,5,4,0,Normal,1,3,1,55.37,77.745,37.810332,78.783,14.0,40,32.4885,31.957758600000002,2,38.29,Moderate,0,0,0.0
EVT-00008,2026-01-01 01:45:00,Surveillance,Mountain,34.38,22.53,45.95,81.32,65.75,15261.48,170.55,5.03,1,1,3,1,Radar Degradation,1,3,1,11.850000000000001,58.34499999999999,64.338776,68.75099999999999,4.3,30,53.578500000000005,32.7475698,1,41.63,Moderate,1,1,0.99
EVT-00009,2026-01-01 02:00:00,Launch,Desert,68.63,22.62,47.54,88.07,63.32,12009.26,54.65,2.29,3,1,2,0,Normal,2,3,1,46.00999999999999,64.3,58.735112,87.613,9.3,20,33.91825,26.7711901,0,27.17,Low,0,0,0.0
EVT-00010,2026-01-01 02:15:00,Pre-Mission,Mountain,87.94,6.64,38.73,88.19,74.07,11012.51,139.62,5.27,3,2,3,0,Normal,2,3,1,81.3,68.825,65.06401199999999,70.3854,11.1,30,26.2424,22.6812776,0,23.32,Low,0,0,0.0
EVT-00011,2026-01-01 02:30:00,Transit,Coastal,74.29,19.3,44.0,84.22,79.86,10588.73,138.63,1.52,3,1,3,0,Normal,2,3,1,54.99000000000001,62.22,68.608476,83.58959999999999,9.3,30,33.8011,24.7437998,0,26.32,Low,0,0,0.0
EVT-00012,2026-01-01 02:45:00,Return,Desert,65.25,27.45,40.12,91.21,87.77,10615.59,188.92,3.72,0,1,5,0,Normal,2,3,1,37.8,71.14999999999999,74.177708,71.8664,1.8,50,43.5159,25.3766134,2,38.3,Moderate,0,0,0.02
EVT-00013,2026-01-01 03:00:00,Surveillance,Coastal,81.99,20.93,63.4,91.43,62.03,8494.76,64.6,3.28,0,1,2,0,Normal,3,3,1,61.059999999999995,59.730000000000004,53.614712,83.35199999999999,1.8,20,30.858500000000003,23.7933826,0,24.72,Low,0,0,0.0
EVT-00014,2026-01-01 03:15:00,Surveillance,Coastal,82.17,19.02,44.28,88.29,80.21,10124.06,176.34,0.79,4,7,2,0,Normal,3,3,1,63.150000000000006,66.15,68.29587199999999,83.1278,22.6,20,28.578049999999998,27.1109481,0,25.99,Low,0,0,0.01
EVT-00015,2026-01-01 03:30:00,Surveillance,Mountain,64.22,14.64,57.36,84.21,74.74,15746.05,100.42,2.84,2,2,4,0,Normal,3,3,1,49.58,55.529999999999994,71.21325999999999,82.0264,8.6,40,39.2579,26.433403,1,33.26,Moderate,0,0,0.0
EVT-00016,2026-01-01 03:45:00,Surveillance,Open Ocean,80.07,18.19,43.44,83.5,48.04,11483.5,104.35,2.51,1,2,4,0,Normal,3,3,1,61.879999999999995,61.78,47.4082,82.867,6.1,40,33.18025,27.584472500000004,1,31.96,Moderate,0,0,0.0
